canton,pop
AG,694072
AI,16293
AR,55309
BE,1043132
BL,290969
BS,196735
CH,8670300
CHFL,8709355
FL,39055
FR,325496
GE,506343
GL,40851
GR,200096
JU,73709
LU,416347
NE,175894
NW,43520
OW,38108
SG,514504
SH,83107
SO,277462
SZ,162157
TG,282909
TI,350986
UR,36819
VD,814762
VS,348503
ZG,128794
ZH,1553423
