date,canton,pop,atLeastOneDoseTotal,atLeastOneDosePer100,partiallyVaccTotal,partiallyVaccPer100,fullyVaccinatedTotal,fullyVaccinatedPer100,firstBoosterVaccinatedTotal,firstBoosterVaccinatedPer100
2020-12-25,NE,155178,0,0,0,0,0,0,0,0
2020-12-25,NW,39193,99,0.25,99,0.25,0,0,0,0
2020-12-25,OW,33828,0,0,0,0,0,0,0,0
2020-12-25,SG,454531,1,0,1,0,0,0,0,0
2020-12-25,SH,74316,0,0,0,0,0,0,0,0
2020-12-25,SO,247249,0,0,0,0,0,0,0,0
2020-12-25,SZ,144615,63,0.04,63,0.04,0,0,0,0
2020-12-25,TG,250045,13,0.01,13,0.01,0,0,0,0
2020-12-25,TI,317007,1,0,1,0,0,0,0,0
2020-12-25,UR,32706,0,0,0,0,0,0,0,0
2020-12-25,VD,717158,0,0,0,0,0,0,0,0
2020-12-25,VS,312362,0,0,0,0,0,0,0,0
2020-12-25,ZG,113860,145,0.13,145,0.13,0,0,0,0
2020-12-25,ZH,1369335,36,0,36,0,0,0,0,0
2020-12-26,AG,615124,8,0,8,0,0,0,0,0
2020-12-26,AI,14261,41,0.29,41,0.29,0,0,0,0
2020-12-26,AR,48435,4,0.01,4,0.01,0,0,0,0
2020-12-26,BE,925166,1,0,1,0,0,0,0,0
2020-12-26,BL,259146,0,0,0,0,0,0,0,0
2020-12-26,BS,174132,0,0,0,0,0,0,0,0
2020-12-26,CH,7678659,1105,0.01,1105,0.01,0,0,0,0
2020-12-26,CHFL,7713153,1105,0.01,1105,0.01,0,0,0,0
2020-12-26,FL,34494,0,0,0,0,0,0,0,0
2020-12-26,FR,286302,0,0,0,0,0,0,0,0
2020-12-26,GE,445161,0,0,0,0,0,0,0,0
2020-12-26,GL,36367,0,0,0,0,0,0,0,0
2020-12-26,GR,180259,0,0,0,0,0,0,0,0
2020-12-26,JU,64986,0,0,0,0,0,0,0,0
2020-12-26,LU,367937,643,0.17,643,0.17,0,0,0,0
2020-12-26,NE,155178,0,0,0,0,0,0,0,0
2020-12-26,NW,39193,99,0.25,99,0.25,0,0,0,0
2020-12-26,OW,33828,0,0,0,0,0,0,0,0
2020-12-26,SG,454531,1,0,1,0,0,0,0,0
2020-12-26,SH,74316,0,0,0,0,0,0,0,0
2020-12-26,SO,247249,0,0,0,0,0,0,0,0
2020-12-26,SZ,144615,113,0.08,113,0.08,0,0,0,0
2020-12-26,TG,250045,13,0.01,13,0.01,0,0,0,0
2020-12-26,TI,317007,1,0,1,0,0,0,0,0
2020-12-26,UR,32706,0,0,0,0,0,0,0,0
2020-12-26,VD,717158,0,0,0,0,0,0,0,0
2020-12-26,VS,312362,0,0,0,0,0,0,0,0
2020-12-26,ZG,113860,145,0.13,145,0.13,0,0,0,0
2020-12-26,ZH,1369335,36,0,36,0,0,0,0,0
2020-12-27,AG,615124,8,0,8,0,0,0,0,0
2020-12-27,AI,14261,41,0.29,41,0.29,0,0,0,0
2020-12-27,AR,48435,4,0.01,4,0.01,0,0,0,0
2020-12-27,BE,925166,1,0,1,0,0,0,0,0
2020-12-27,BL,259146,0,0,0,0,0,0,0,0
2020-12-27,BS,174132,0,0,0,0,0,0,0,0
2020-12-27,CH,7678659,1105,0.01,1105,0.01,0,0,0,0
2020-12-27,CHFL,7713153,1105,0.01,1105,0.01,0,0,0,0
2020-12-27,FL,34494,0,0,0,0,0,0,0,0
2020-12-27,FR,286302,0,0,0,0,0,0,0,0
2020-12-27,GE,445161,0,0,0,0,0,0,0,0
2020-12-27,GL,36367,0,0,0,0,0,0,0,0
2020-12-27,GR,180259,0,0,0,0,0,0,0,0
2020-12-27,JU,64986,0,0,0,0,0,0,0,0
2020-12-27,LU,367937,643,0.17,643,0.17,0,0,0,0
2020-12-27,NE,155178,0,0,0,0,0,0,0,0
2020-12-27,NW,39193,99,0.25,99,0.25,0,0,0,0
2020-12-27,OW,33828,0,0,0,0,0,0,0,0
2020-12-27,SG,454531,1,0,1,0,0,0,0,0
2020-12-27,SH,74316,0,0,0,0,0,0,0,0
2020-12-27,SO,247249,0,0,0,0,0,0,0,0
2020-12-27,SZ,144615,113,0.08,113,0.08,0,0,0,0
2020-12-27,TG,250045,13,0.01,13,0.01,0,0,0,0
2020-12-27,TI,317007,1,0,1,0,0,0,0,0
2020-12-27,UR,32706,0,0,0,0,0,0,0,0
2020-12-27,VD,717158,0,0,0,0,0,0,0,0
2020-12-27,VS,312362,0,0,0,0,0,0,0,0
2020-12-27,ZG,113860,145,0.13,145,0.13,0,0,0,0
2020-12-27,ZH,1369335,36,0,36,0,0,0,0,0
2020-12-28,AG,615124,74,0.01,71,0.01,3,0,0,0
2020-12-28,AI,14261,41,0.29,41,0.29,0,0,0,0
2020-12-28,AR,48435,4,0.01,4,0.01,0,0,0,0
2020-12-28,BE,925166,2,0,2,0,0,0,0,0
2020-12-28,BL,259146,64,0.02,64,0.02,0,0,0,0
2020-12-28,BS,174132,621,0.36,621,0.36,0,0,0,0
2020-12-28,CH,7678659,2701,0.04,2697,0.04,4,0,0,0
2020-12-28,CHFL,7713153,2701,0.04,2697,0.03,4,0,0,0
2020-12-28,FL,34494,0,0,0,0,0,0,0,0
2020-12-28,FR,286302,134,0.05,134,0.05,0,0,0,0
2020-12-28,GE,445161,16,0,16,0,0,0,0,0
2020-12-28,GL,36367,0,0,0,0,0,0,0,0
2020-12-28,GR,180259,0,0,0,0,0,0,0,0
2020-12-28,JU,64986,0,0,0,0,0,0,0,0
2020-12-28,LU,367937,1023,0.28,1023,0.28,0,0,0,0
2020-12-28,NE,155178,48,0.03,48,0.03,0,0,0,0
2020-12-28,NW,39193,177,0.45,177,0.45,0,0,0,0
2020-12-28,OW,33828,1,0,1,0,0,0,0,0
2020-12-28,SG,454531,3,0,3,0,0,0,0,0
2020-12-28,SH,74316,0,0,0,0,0,0,0,0
2020-12-28,SO,247249,8,0,8,0,0,0,0,0
2020-12-28,SZ,144615,214,0.15,214,0.15,0,0,0,0
2020-12-28,TG,250045,61,0.02,61,0.02,0,0,0,0
2020-12-28,TI,317007,1,0,1,0,0,0,0,0
2020-12-28,UR,32706,0,0,0,0,0,0,0,0
2020-12-28,VD,717158,0,0,0,0,0,0,0,0
2020-12-28,VS,312362,4,0,3,0,1,0,0,0
2020-12-28,ZG,113860,145,0.13,145,0.13,0,0,0,0
2020-12-28,ZH,1369335,60,0,60,0,0,0,0,0
2020-12-29,AG,615124,127,0.02,124,0.02,3,0,0,0
2020-12-29,AI,14261,41,0.29,41,0.29,0,0,0,0
2020-12-29,AR,48435,4,0.01,4,0.01,0,0,0,0
2020-12-29,BE,925166,4,0,4,0,0,0,0,0
2020-12-29,BL,259146,122,0.05,122,0.05,0,0,0,0
2020-12-29,BS,174132,1281,0.74,1280,0.74,1,0,0,0
2020-12-29,CH,7678659,4365,0.06,4357,0.06,8,0,0,0
2020-12-29,CHFL,7713153,4365,0.06,4357,0.06,8,0,0,0
2020-12-29,FL,34494,0,0,0,0,0,0,0,0
2020-12-29,FR,286302,333,0.12,333,0.12,0,0,0,0
2020-12-29,GE,445161,42,0.01,42,0.01,0,0,0,0
2020-12-29,GL,36367,0,0,0,0,0,0,0,0
2020-12-29,GR,180259,0,0,0,0,0,0,0,0
2020-12-29,JU,64986,0,0,0,0,0,0,0,0
2020-12-29,LU,367937,1179,0.32,1179,0.32,0,0,0,0
2020-12-29,NE,155178,150,0.1,150,0.1,0,0,0,0
2020-12-29,NW,39193,178,0.45,178,0.45,0,0,0,0
2020-12-29,OW,33828,1,0,1,0,0,0,0,0
2020-12-29,SG,454531,11,0,11,0,0,0,0,0
2020-12-29,SH,74316,93,0.13,93,0.13,0,0,0,0
2020-12-29,SO,247249,119,0.05,119,0.05,0,0,0,0
2020-12-29,SZ,144615,219,0.15,219,0.15,0,0,0,0
2020-12-29,TG,250045,151,0.06,151,0.06,0,0,0,0
2020-12-29,TI,317007,1,0,1,0,0,0,0,0
2020-12-29,UR,32706,2,0.01,2,0.01,0,0,0,0
2020-12-29,VD,717158,10,0,10,0,0,0,0,0
2020-12-29,VS,312362,11,0,9,0,2,0,0,0
2020-12-29,ZG,113860,177,0.16,176,0.15,1,0,0,0
2020-12-29,ZH,1369335,109,0.01,108,0.01,1,0,0,0
2020-12-30,AG,615124,194,0.03,191,0.03,3,0,0,0
2020-12-30,AI,14261,41,0.29,41,0.29,0,0,0,0
2020-12-30,AR,48435,5,0.01,4,0.01,1,0,0,0
2020-12-30,BE,925166,6,0,6,0,0,0,0,0
2020-12-30,BL,259146,263,0.1,263,0.1,0,0,0,0
2020-12-30,BS,174132,2182,1.25,2181,1.25,1,0,0,0
2020-12-30,CH,7678659,6025,0.08,6015,0.08,10,0,0,0
2020-12-30,CHFL,7713153,6025,0.08,6015,0.08,10,0,0,0
2020-12-30,FL,34494,0,0,0,0,0,0,0,0
2020-12-30,FR,286302,536,0.19,536,0.19,0,0,0,0
2020-12-30,GE,445161,56,0.01,56,0.01,0,0,0,0
2020-12-30,GL,36367,0,0,0,0,0,0,0,0
2020-12-30,GR,180259,1,0,1,0,0,0,0,0
2020-12-30,JU,64986,0,0,0,0,0,0,0,0
2020-12-30,LU,367937,1217,0.33,1217,0.33,0,0,0,0
2020-12-30,NE,155178,213,0.14,213,0.14,0,0,0,0
2020-12-30,NW,39193,179,0.46,179,0.46,0,0,0,0
2020-12-30,OW,33828,1,0,1,0,0,0,0,0
2020-12-30,SG,454531,13,0,13,0,0,0,0,0
2020-12-30,SH,74316,93,0.13,93,0.13,0,0,0,0
2020-12-30,SO,247249,150,0.06,150,0.06,0,0,0,0
2020-12-30,SZ,144615,224,0.15,224,0.15,0,0,0,0
2020-12-30,TG,250045,194,0.08,194,0.08,0,0,0,0
2020-12-30,TI,317007,3,0,3,0,0,0,0,0
2020-12-30,UR,32706,2,0.01,2,0.01,0,0,0,0
2020-12-30,VD,717158,86,0.01,86,0.01,0,0,0,0
2020-12-30,VS,312362,22,0.01,19,0.01,3,0,0,0
2020-12-30,ZG,113860,205,0.18,204,0.18,1,0,0,0
2020-12-30,ZH,1369335,139,0.01,138,0.01,1,0,0,0
2020-12-31,AG,615124,194,0.03,191,0.03,3,0,0,0
2020-12-31,AI,14261,41,0.29,41,0.29,0,0,0,0
2020-12-31,AR,48435,5,0.01,4,0.01,1,0,0,0
2020-12-31,BE,925166,6,0,6,0,0,0,0,0
2020-12-31,BL,259146,263,0.1,263,0.1,0,0,0,0
